"ObsNo","Female","Age_Group","Education","Region","Pol_Interest","Econ_Ideology","Pol_Ideology","Party_Member","Urban","Participation","Participate_Binary","Participate_Pol","Participate_Ent","Participate_Ina","Censor_Support","Censor_Pol_Support","Censor_Ent_Support","Responsibility_Gov","Gov_Assess","calibWeight"
724,0,4,4,4,3,4,4,0,1,1,0,1,1,1,3,4,2,3,4,0.222419929
725,0,5,1,4,4,4,2,0,1,1,0,1,1,1,4,2,2,3,4,2.95703272
726,0,4,4,4,3,4,4,0,1,1,0,1,1,1,4,4,2,3,5,0.222419929
727,0,5,4,4,3,4,4,0,1,1,0,1,1,1,4,4,2,2,4,0.222419929
728,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,2,4,3.412350848
729,0,5,1,4,3,4,2,0,1,1,0,1,1,1,5,3,3,5,5,2.95703272
730,0,4,1,4,4,4,2,0,1,1,0,1,1,1,3,4,4,3,4,2.95703272
731,0,3,4,2,2,2,4,1,0,3,1,3,1,3,2,4,4,0,5,0.222419929
732,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,3,4,3.412350848
733,0,4,1,4,4,4,2,0,1,1,0,1,1,1,3,4,4,3,4,2.95703272
734,0,5,1,4,3,4,2,0,1,1,0,1,1,1,4,2,4,5,4,2.95703272
735,0,3,4,1,2,5,5,1,1,3,1,3,1,3,4,2,2,6,5,0.222419929
736,0,5,1,4,3,5,2,0,1,1,0,1,1,1,4,2,3,5,4,2.95703272
737,0,3,4,2,2,4,2,1,0,3,1,3,1,3,4,4,4,0,5,0.222419929
738,0,5,1,4,3,5,2,0,1,1,0,1,1,1,4,2,4,5,5,2.95703272
739,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,3,4,3.412350848
740,0,4,1,4,4,4,2,0,1,1,0,1,1,1,3,4,4,4,4,2.95703272
741,0,5,1,4,3,4,2,0,1,1,0,1,1,1,5,2,2,6,4,2.95703272
742,0,4,4,4,3,4,4,0,1,1,0,1,1,1,4,4,4,4,5,0.222419929
743,0,4,4,4,3,4,4,0,1,1,0,1,1,1,4,2,2,3,5,0.222419929
744,0,4,4,4,3,4,2,0,1,1,0,1,1,1,4,2,2,3,5,0.222419929
745,0,3,4,1,4,3,2,0,1,3,1,3,1,3,4,4,4,4,5,0.222419929
746,0,3,4,2,5,4,1,1,1,3,1,3,1,3,4,4,4,3,5,0.222419929
747,0,3,4,2,3,4,5,0,0,2,1,1,1,2,4,3,2,5,5,0.222419929
748,0,5,1,4,3,5,1,0,1,1,0,1,1,1,4,2,2,3,4,2.95703272
749,0,3,4,6,2,5,5,1,1,3,1,3,1,3,5,2,2,6,5,0.222419929
750,0,4,1,4,4,4,2,0,1,1,0,1,1,1,4,4,4,3,4,2.95703272
751,0,3,4,2,2,5,5,1,1,3,1,3,1,3,5,2,2,5,5,0.222419929
752,0,5,1,4,3,4,2,0,1,1,0,1,1,1,5,2,2,5,5,2.95703272
753,0,3,4,2,4,3,4,0,1,3,1,1,3,3,4,4,4,4,4,0.222419929
754,0,3,4,2,4,4,3,0,1,3,1,1,1,3,3,4,4,4,4,0.222419929
755,0,2,4,6,2,4,2,0,0,1,0,1,1,1,3,3,3,2,3,0.222419929
756,0,5,4,4,4,5,4,0,1,1,0,1,1,1,3,4,2,3,5,0.222419929
757,0,5,4,4,4,5,4,0,1,1,0,1,1,1,4,4,2,4,5,0.222419929
758,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,3,4,3.412350848
759,0,4,1,4,4,4,2,0,1,1,0,1,1,1,3,4,4,4,4,2.95703272
760,0,5,4,4,3,4,4,0,1,1,0,1,1,1,4,4,2,5,5,0.222419929
761,0,3,4,2,2,4,2,1,0,3,1,3,1,3,4,5,4,5,5,0.222419929
762,0,3,4,2,2,4,2,1,0,3,1,3,1,3,4,4,4,5,5,0.222419929
763,0,3,4,2,2,4,2,1,0,3,1,3,1,3,4,4,4,5,5,0.222419929
764,0,3,4,2,2,4,2,1,0,3,1,3,1,3,4,4,4,5,5,0.222419929
765,0,5,1,4,3,5,2,0,1,1,0,1,1,1,4,2,2,4,5,2.95703272
766,0,5,1,4,3,5,2,0,1,1,0,1,1,1,4,2,2,3,4,2.95703272
767,0,5,1,4,3,4,1,0,1,1,0,1,1,1,5,2,1,4,4,2.95703272
768,0,5,1,4,3,4,2,0,1,1,0,1,1,1,4,2,2,4,5,2.95703272
769,0,3,4,6,5,4,2,1,1,3,1,3,1,3,5,4,4,4,4,0.222419929
770,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,4,4,3.412350848
771,0,4,1,4,4,4,2,0,1,1,0,1,1,1,3,4,4,3,4,2.95703272
772,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,3,4,3.412350848
773,0,5,4,4,3,2,4,0,1,1,0,1,1,1,1,5,2,4,4,0.222419929
774,0,4,1,4,4,4,2,0,1,1,0,1,1,1,3,4,4,4,4,2.95703272
775,0,5,1,4,4,5,2,0,1,1,0,1,1,1,4,2,2,6,4,2.95703272
776,0,5,1,4,3,5,2,0,1,1,0,1,1,1,4,2,2,3,5,2.95703272
777,0,1,2,4,2,3,1,0,0,1,0,1,1,1,3,4,3,4,5,0.232238469
778,0,5,4,4,3,2,2,0,1,1,0,1,1,1,2,4,2,3,5,0.222419929
779,0,5,1,4,3,2,4,0,1,1,0,1,1,1,2,2,2,4,5,2.95703272
780,0,5,1,4,4,4,2,0,1,1,0,1,1,1,4,2,2,6,4,2.95703272
781,0,5,1,4,3,5,2,0,1,1,0,1,1,1,4,1,2,4,4,2.95703272
782,1,2,3,2,4,2,5,0,1,1,0,1,1,1,2,4,1,3,4,0.222419929
783,1,3,1,2,3,3,4,0,0,1,0,1,1,1,4,4,2,1,3,2.565117498
784,0,2,4,1,4,5,1,0,0,1,0,1,1,1,3,2,2,3,3,0.222419929
785,0,2,4,1,2,4,2,0,0,1,0,1,1,1,3,4,4,3,5,0.222419929
786,0,3,4,4,6,4,4,1,1,2,1,1,1,2,4,5,4,3,4,0.222419929
787,0,3,4,1,5,5,1,1,1,3,1,3,3,3,5,5,5,3,4,0.222419929
788,0,2,1,6,4,3,3,0,0,2,1,2,1,2,3,3,3,2,5,0.232238469
789,0,3,4,2,5,4,2,1,1,3,1,3,1,3,4,5,5,5,5,0.222419929
790,0,2,2,4,5,4,4,0,0,3,1,1,1,3,4,2,2,7,4,0.232238469
